date,time,temp,hum,dust,mdust
2024-11-21,05:04:07,23,49,26,25
2024-11-21,05:04:36,23,49,22,22
2024-11-21,05:05:05,23,49,22,20
2024-11-21,05:05:35,23,49,23,23
2024-11-21,05:06:04,23,49,21,21
2024-11-21,05:06:33,23,49,23,23
2024-11-21,05:07:02,23,49,21,20
2024-11-21,05:07:32,23,49,22,19
2024-11-21,05:08:01,23,49,24,22
2024-11-21,05:08:30,23,49,21,21
2024-11-21,05:08:59,23,49,26,22
2024-11-21,05:09:29,23,49,20,20
2024-11-21,05:09:58,23,49,27,21
2024-11-21,05:10:27,23,49,24,24
2024-11-21,05:10:56,23,49,27,25
2024-11-21,05:11:26,23,49,21,21
2024-11-21,05:11:55,23,49,24,23
2024-11-21,05:12:24,23,49,25,21
2024-11-21,05:12:54,23,49,23,20
2024-11-21,05:13:23,23,49,20,18
2024-11-21,05:13:52,23,49,22,22
2024-11-21,05:14:21,23,49,20,20
2024-11-21,05:14:51,23,49,21,21
2024-11-21,05:15:20,23,49,21,21
2024-11-21,05:15:49,23,49,23,22
2024-11-21,05:16:18,23,49,24,22
2024-11-21,05:16:48,23,49,22,21
2024-11-21,05:17:17,23,49,25,23
2024-11-21,05:17:46,23,49,19,17
2024-11-21,05:18:15,23,49,25,23
2024-11-21,05:18:45,23,49,18,18
2024-11-21,05:19:14,23,49,18,18
2024-11-21,05:19:43,23,49,18,18
2024-11-21,05:20:12,23,49,19,18
2024-11-21,05:20:42,23,49,23,19
2024-11-21,05:21:11,23,49,24,22
2024-11-21,05:21:40,23,49,21,20
2024-11-21,05:22:09,23,49,22,21
2024-11-21,05:22:39,23,49,22,21
2024-11-21,05:23:08,23,49,22,22
2024-11-21,05:23:37,23,49,24,22
2024-11-21,05:24:06,23,49,24,22
2024-11-21,05:24:36,23,49,21,21
2024-11-21,05:25:05,23,49,24,23
2024-11-21,05:25:34,23,49,20,20
2024-11-21,05:26:03,23,49,23,23
2024-11-21,05:26:33,23,49,24,23
2024-11-21,05:27:02,23,49,24,22
2024-11-21,05:27:31,23,49,25,23
2024-11-21,05:28:00,23,49,21,20
2024-11-21,05:28:30,23,49,20,20
2024-11-21,05:28:59,23,49,20,19
2024-11-21,05:29:28,23,49,19,19
2024-11-21,05:29:58,23,49,25,24
2024-11-21,05:30:27,23,49,19,19
2024-11-21,05:30:56,23,49,21,21
2024-11-21,05:31:25,23,49,21,20
2024-11-21,05:31:55,23,49,23,22
2024-11-21,05:32:24,23,49,23,19
2024-11-21,05:32:53,23,49,19,18
2024-11-21,05:33:22,23,49,19,19
2024-11-21,05:33:52,23,49,22,20
2024-11-21,05:34:21,23,49,26,23
2024-11-21,05:34:50,23,49,22,21
2024-11-21,05:35:19,23,49,21,20
2024-11-21,05:35:49,23,49,22,22
2024-11-21,05:36:18,23,49,23,22
2024-11-21,05:36:47,23,49,23,23
2024-11-21,05:37:16,23,49,27,24
2024-11-21,05:37:46,23,49,20,19
2024-11-21,05:38:15,23,49,22,19
2024-11-21,05:38:44,23,49,20,20
2024-11-21,05:39:13,23,49,21,21
2024-11-21,05:39:43,23,49,25,24
2024-11-21,05:40:12,23,49,23,22
2024-11-21,05:40:41,23,49,22,21
2024-11-21,05:41:10,23,49,19,19
2024-11-21,05:41:40,23,49,25,23
2024-11-21,05:42:09,23,49,19,18
2024-11-21,05:42:38,23,49,19,19
2024-11-21,05:43:07,23,49,21,21
